aor iia	9003197	παρῆλθον	παρέρχομαι	to go by	3paia	1.7.18
aor iia	9003215	ἔδοξε	δοκέω	pharr23	3saia	1.7.19
aor iia	9003362	ἔλαβε	λαμβάνω	pharr21	3saia	1.8.3
aor iia	9003415	ἔσχε	ἔχω	pharr10	3saia	1.8.4
aor iia	9003429	ἔστησαν	ἵστημι	to make to stand	3paia	1.8.5
aor iia	9003684	εἶπεν	λέγω	to pick; to say	3saia	1.8.11
aor iia	9003886	εἶπε	λέγω	to pick; to say	3saia	1.8.15
aor iia	9003905	ἤκουσε	ἀκούω	to hear	3saia	1.8.16
aor iia	9003921	εἶπεν	λέγω	to pick; to say	3saia	1.8.16
aor iia	9003930	ἐθαύμασε	θαυμάζω	to wonder	3saia	1.8.16
aor iia	9004035	ἐδούπησαν	δουπέω	to sound heavy	3paia	1.8.18
aor iia	9004127	ἔπαθεν	πάσχω	pharr30	3saia	1.8.20
aor iia	9004296	ἔτρεψε	τρέπω	pharr21	3saia	1.8.24
aor iia	9004432	ἀπέθανε	ἀποθνῄσκω	pharr34	3saia	1.8.27
aor iia	9004456	εἶδε	ὁράω	to see	3saia	1.8.28
aor iia	9004517	ἐτελεύτησεν	τελευτάω	to complete	3saia	1.9.1
aor iia	9004694	ἔτρεσεν	τρέω	to flee from fear	3saia	1.9.6
aor iia	9004706	ἔπαθεν	πάσχω	pharr30	3saia	1.9.6
aor iia	9004716	κατέκανε	κατακαίνω	kill	3saia	1.9.6
aor iia	9004725	ἐποίησεν	ποιέω	pharr23	3saia	1.9.6
aor iia	9004729	κατεπέμφθη	κατεπεμφθάνω	nodef	3saia	1.9.7
aor iia	9004757	ἐπέδειξεν	ἐπιδείκνυμι	to exhibit as a specimen	3saia	1.9.7
aor iia	9004815	ἐπολέμησε	πολεμέω	pharr23	3saia	1.9.9
aor iia	9004918	ἐπεθύμησαν	ἐπιθυμέω	pharr33	3paia	1.9.12
aor iia	9005119	ἔπλευσαν	πλέω	to sail	3paia	1.9.17
aor iia	9005121	ἔγνωσαν	γιγνώσκω	to learn to know	3paia	1.9.17
aor iia	9005147	εἴασε	ἐάω	to let	3saia	1.9.18
aor iia	9005421	ἔπεμψε	πέμπω	pharr8	3saia	1.9.25
aor iia	9005562	ἐπεχείρησε	ἐπιχειρέω	to attempt	3saia	1.9.29
aor iia	9005574	ηὗρε	εὑρίσκω	to find	3saia	1.9.29
aor iia	9005586	ἀπῆλθον	ἀπέρχομαι	to go away	3paia	1.9.29
aor iia	9005653	ἀπέθανον	ἀποθνῄσκω	pharr34	3paia	1.9.31
aor iia	9005677	ἔφυγεν	φεύγω	pharr6	3saia	1.9.31
aor iia	9005780	ἔτυχον	τυγχάνω	(with gen.) to hit the mark	3paia	1.10.3
aor iia	9005792	ἀπέκτειναν	ἀποκτείνω	to kill	3paia	1.10.3
aor iia	9005798	ἀπέθανον	ἀποθνῄσκω	pharr34	3paia	1.10.3
aor iia	9005802	ἔφυγόν	φεύγω	pharr6	3paia	1.10.3
aor iia	9005808	ἔσωσαν	σῴζω	pharr34	3paia	1.10.3
aor iia	9005823	ἔσωσαν	σῴζω	pharr34	3paia	1.10.3
aor iia	9005826	διέσχον	διέχω	to keep apart	1saia	1.10.4
aor iia	9005874	ἤκουσε	ἀκούω	to hear	3saia	1.10.5
aor iia	9005960	παρῆλθεν	παρέρχομαι	to go by	3saia	1.10.6
aor iia	9005994	ἔφυγεν	φεύγω	pharr6	3saia	1.10.7
aor iia	9005997	διήλασε	διελαύνω	to drive through	3saia	1.10.7
aor iia	9006008	κατέκανε	κατακαίνω	kill	3saia	1.10.7
aor iia	9006075	ἔδεισαν	δείδω	to fear	3paia	1.10.9
aor iia	9006115	κατέστησεν	καθίστημι	to set down	3saia	1.10.10
aor iia	9006127	εἶδον	ὁράω	to see	3paia	1.10.10
aor iia	9006170	ἔστησαν	ἵστημι	to make to stand	3paia	1.10.12
aor iia	9006255	ἀπεχώρησαν	ἀποχωρέω	to go from	3paia	1.10.13
aor iia	9006295	ἤλασέ	ἐλαύνω	pharr19	3saia	1.10.15
aor iia	9006316	ἔστησαν	ἵστημι	to make to stand	3paia	1.10.16
aor iia	9006372	ἔδοξεν	δοκέω	pharr23	3saia	1.10.17
aor iia	9006452	διήρπασαν	διαρπάζω	pharr18	3paia	1.10.18
