6168062	πολλοὺς	πολύς	much	330
6168063	πείσαιμι	πείθω	pharr9	330
6168064	λέγων	λέγω	to pick; to say	330
6168066	εὖ	εὖ	well	330
6168067	γὰρ	γάρ	pharr6	330
6168068	ἴσθι	οἶδα	to know	330
6168070	ἔφη	φημί	to say	330
6168072	ὦ	ὦ	pharr28	330
6168073	Σώκρατες	Σωκράτης	Socrates	330
6168075	ὅτι	ὅτι	adv. + superl.	330
6168077	ἐπειδάν	ἐπειδάν	pharr34	330
6168078	τις	τις	pharr29	330
6168079	ἐγγὺς	ἐγγύς	near	330
6168080	ᾖ	εἰμί	pharr17	330
6168081	τοῦ	ὁ	pharr1	330
6168082	οἴεσθαι	οἴομαι	to suppose	330
6168083	τελευτήσειν	τελευτάω	to complete	330
6168085	εἰσέρχεται	εἰσέρχομαι	to go in	330
6168086	αὐτῷ	αὐτός	pharr13	330
6168087	δέος	δέος	fear	330
6168088	καὶ	καί	pharr3	330
6168089	φροντὶς	φροντίς	thought	330
6168090	περὶ	περί	pharr25	330
6168091	ὧν	ὅς	pharr13	330
6168092	ἔμπροσθεν	ἔμπροσθεν	before	330
6168093	οὐκ	οὐ	pharr6	330
6168094	εἰσῄει	εἰσέρχομαι	to go in	330
6168096	οἵ	ὁ	pharr1	330
6168097	τε	τε	pharr30	330
6168098	γὰρ	γάρ	pharr6	330
6168099	λεγόμενοι	λέγω	to pick; to say	330
6168100	μῦθοι	μῦθος	anything	330
6168101	περὶ	περί	pharr25	330
6168102	τῶν	ὁ	pharr1	330
6168103	ἐν	ἐν	pharr4	330
6168104	Ἅιδου	Ἅιδης	nodef	330
6168106	ὡς	ὡς	pharr21	330
6168107	τὸν	ὁ	pharr1	330
6168108	ἐνθάδε	ἐνθάδε	here	330
6168109	ἀδικήσαντα	ἀδικέω	pharr23	330
6168110	δεῖ	δέω	pharr31	330
6168111	ἐκεῖ	ἐκεῖ	there	330
6168112	διδόναι	δίδωμι	to give	330
6168113	δίκην	δίκη	pharr33	330
6168115	καταγελώμενοι	καταγελάω	to laugh at	330
6168116	τέως	τέως	so long	330
6168118	τότε	τότε	pharr17	330
6168119	δὴ	δή	pharr23	330
6168120	στρέφουσιν	στρέφω	to turn about	330
6168121	αὐτοῦ	αὐτός	pharr13	330
6168122	τὴν	ὁ	pharr1	330
6168123	ψυχὴν	ψυχή	breath	330
6168124	μὴ	μή	pharr15	330
6168125	ἀληθεῖς	ἀληθής	unconcealed	330
6168126	ὦσιν	εἰμί	pharr17	330
6168128	καὶ	καί	pharr3	330
6168129	αὐτός	αὐτός	pharr13	330
6168131	ἤτοι	ἤτοι	now surely	330
6168132	ὑπὸ	ὑπό	pharr24	330
6168133	τῆς	ὁ	pharr1	330
6168134	τοῦ	ὁ	pharr1	330
6168135	γήρως	γῆρας	old age	330
6168136	ἀσθενείας	ἀσθένεια	want of strength	330
6168137	ἢ	ἤ	pharr33	330
6168138	καὶ	καί	pharr3	330
6168139	ὥσπερ	ὥσπερ	pharr31	330
6168140	ἤδη	ἤδη	already	330
6168141	ἐγγυτέρω	ἐγγύς	near	330
6168142	ὢν	εἰμί	pharr17	330
6168143	τῶν	ὁ	pharr1	330
6168144	ἐκεῖ	ἐκεῖ	there	330
6168145	μᾶλλόν	μάλα	pharr31	330
6168146	τι	τις	pharr29	330
6168147	καθορᾷ	καθοράω	(to look down); to observe	330
6168148	αὐτά	αὐτός	pharr13	330
6168150	ὑποψίας	ὑποψία	suspicion	330
6168151	δ’	δέ	pharr4	330
6168152	οὖν	οὖν	pharr15	330
6168153	καὶ	καί	pharr3	330
6168154	δείματος	δεῖμα	fear	330
6168155	μεστὸς	μεστός	pharr14	330
6168156	γίγνεται	γίγνομαι	pharr26	330
6168157	καὶ	καί	pharr3	330
6168158	ἀναλογίζεται	ἀναλογίζομαι	to reckon up	330
6168159	ἤδη	ἤδη	already	330
6168160	καὶ	καί	pharr3	330
6168161	σκοπεῖ	σκοπέω	to look at	330
6168162	εἴ	εἰ	pharr15	330
6168163	τινά	τις	pharr29	330
6168164	τι	τις	pharr29	330
6168165	ἠδίκησεν	ἀδικέω	pharr23	330
6168167	ὁ	ὁ	pharr1	331
6168168	μὲν	μέν	pharr8	331
6168169	οὖν	οὖν	pharr15	331
6168170	εὑρίσκων	εὑρίσκω	to find	331
6168171	ἑαυτοῦ	ἑαυτοῦ	pharr16	331
6168172	ἐν	ἐν	pharr4	331
6168173	τῷ	ὁ	pharr1	331
6168174	βίῳ	βίος	pharr32	331
6168175	πολλὰ	πολύς	much	331
6168176	ἀδικήματα	ἀδίκημα	a wrong done	331
6168177	καὶ	καί	pharr3	331
6168178	ἐκ	ἐκ	pharr2	331
6168179	τῶν	ὁ	pharr1	331
6168180	ὕπνων	ὕπνος	sleep	331
6168182	ὥσπερ	ὥσπερ	pharr31	331
6168183	οἱ	ὁ	pharr1	331
6168184	παῖδες	παῖς	pharr19	331
6168186	θαμὰ	θαμά	often	331
6168187	ἐγειρόμενος	ἐγείρω	to awaken	331
6168188	δειμαίνει	δειμαίνω	to be afraid	331
6168189	καὶ	καί	pharr3	331
6168190	ζῇ	ζάω	to live	331
6168191	μετὰ	μετά	pharr24	331
6168192	κακῆς	κακός	pharr15	331
6168193	ἐλπίδος	ἐλπίς	pharr21	331
6168195	τῷ	ὁ	pharr1	331
6168196	δὲ	δέ	pharr4	331
6168197	μηδὲν	μηδείς	(and not one); not one	331
6168198	ἑαυτῷ	ἑαυτοῦ	pharr16	331
6168199	ἄδικον	ἄδικος	pharr33	331
6168200	συνειδότι	σύνοιδα	to share in knowledge	331
6168201	ἡδεῖα	ἡδύς	sweet	331
6168202	ἐλπὶς	ἐλπίς	pharr21	331
6168203	ἀεὶ	ἀεί	pharr29	331
6168204	πάρεστι	πάρειμι	pharr17	331
6168205	καὶ	καί	pharr3	331
6168206	ἀγαθὴ	ἀγαθός	pharr3	331
6168207	γηροτρόφος	γηροβοσκός	feeding	331
6168209	ὡς	ὡς	pharr21	331
6168210	καὶ	καί	pharr3	331
6168211	Πίνδαρος	Πίνδαρος	Pindar	331
6168212	λέγει	λέγω	to pick; to say	331
6168214	χαριέντως	χαρίεις	graceful	331
6168215	γάρ	γάρ	pharr6	331
6168216	τοι	τοι	let me tell you	331
6168218	ὦ	ὦ	pharr28	331
6168219	Σώκρατες	Σωκράτης	Socrates	331
6168221	τοῦτ’	οὗτος	pharr14	331
6168222	ἐκεῖνος	ἐκεῖνος	pharr14	331
6168223	εἶπεν	λέγω	to pick; to say	331
6168225	ὅτι	ὅτι	adv. + superl.	331
6168226	ὃς	ὅς	pharr13	331
6168227	ἂν	ἄν	pharr17	331
6168228	δικαίως	δίκαιος	pharr2	331
6168229	καὶ	καί	pharr3	331
6168230	ὁσίως	ὅσιος	hallowed	331
6168231	τὸν	ὁ	pharr1	331
6168232	βίον	βίος	pharr32	331
6168233	διαγάγῃ	διάγω	to carry over	331
6168235	γλυκεῖά	γλυκύς	sweet	331
6168236	οἱ	ἕ	nodef	331
6168237	καρδίαν	καρδία	the heart	331
6168238	ἀτάλλοισα	ἀτάλλοιδα	nodef	331
6168239	γηροτρόφος	γηροβοσκός	feeding	331
6168240	συναορεῖ	συναορέω	accompany	331
6168241	ἐλπὶς	ἐλπίς	pharr21	331
6168242	ἃ	ὅς	pharr13	331
6168243	μάλιστα	μάλα	pharr31	331
6168244	θνατῶν	θνητός	liable to death	331
6168245	πολύστροφον	πολύστροφος	much-twisted	331
6168246	γνώμαν	γνώμη	a means of knowing	331
6168247	κυβερνᾷ	κυβερνάω	to act as pilot	331
6168249	εὖ	εὖ	well	331
6168250	οὖν	οὖν	pharr15	331
6168251	λέγει	λέγω	to pick; to say	331
6168252	θαυμαστῶς	θαυμαστός	wondrous	331
6168253	ὡς	ὡς	pharr21	331
6168254	σφόδρα	σφόδρα	very	331
6168256	πρὸς	πρός	pharr18	331
